Market,Benchmark,Status,Report_File,Report_Path,Report_URL,Updated_At,Last_Hedge_Short,Benchmark_Hedge_Short,Benchmark_Hedge_Ticker
DJ30,DIA,OK,Report_DJ30.pdf,reports/Report_DJ30.pdf,reports/Report_DJ30.pdf,2026-06-21T15:14:24+02:00,0.1258,0.1258,DIA
USA100,SPY,OK,Report_USA100.pdf,reports/Report_USA100.pdf,reports/Report_USA100.pdf,2026-06-21T15:14:24+02:00,0.0724,0.0724,SPY
NASDAQ100,QQQ,OK,Report_NASDAQ100.pdf,reports/Report_NASDAQ100.pdf,reports/Report_NASDAQ100.pdf,2026-06-21T15:14:24+02:00,0.0975,0.0975,QQQ
Europe50,^STOXX50E,OK,Report_Europe50.pdf,reports/Report_Europe50.pdf,reports/Report_Europe50.pdf,2026-06-21T15:14:25+02:00,0.0953,0.0953,^STOXX50E
Italy30,FTSEMIB.MI,OK,Report_Italy30.pdf,reports/Report_Italy30.pdf,reports/Report_Italy30.pdf,2026-06-21T15:14:25+02:00,0.1267,0.1267,FTSEMIB.MI
UK30,^FTSE,OK,Report_UK30.pdf,reports/Report_UK30.pdf,reports/Report_UK30.pdf,2026-06-21T15:14:25+02:00,0.1116,0.1116,^FTSE
France40,^FCHI,OK,Report_France40.pdf,reports/Report_France40.pdf,reports/Report_France40.pdf,2026-06-21T15:14:25+02:00,0.1884,0.1884,^FCHI
Spain40,EWP,OK,Report_Spain40.pdf,reports/Report_Spain40.pdf,reports/Report_Spain40.pdf,2026-06-21T15:14:25+02:00,0.0637,0.0637,EWP
Germany30,^GDAXI,OK,Report_Germany30.pdf,reports/Report_Germany30.pdf,reports/Report_Germany30.pdf,2026-06-21T15:14:25+02:00,0.1273,0.1273,^GDAXI
Australia50,^AXJO,OK,Report_Australia50.pdf,reports/Report_Australia50.pdf,reports/Report_Australia50.pdf,2026-06-21T15:14:25+02:00,0.1573,0.1573,^AXJO
Japan50,^N225,OK,Report_Japan50.pdf,reports/Report_Japan50.pdf,reports/Report_Japan50.pdf,2026-06-21T15:14:26+02:00,0.0989,0.0989,^N225
Canada50,^GSPTSE,OK,Report_Canada50.pdf,reports/Report_Canada50.pdf,reports/Report_Canada50.pdf,2026-06-21T15:14:26+02:00,0.1432,0.1432,^GSPTSE
Mexico30,^MXX,OK,Report_Mexico30.pdf,reports/Report_Mexico30.pdf,reports/Report_Mexico30.pdf,2026-06-21T15:14:26+02:00,0.2211,0.2211,^MXX
South Korea30,^KS11,OK,Report_South_Korea30.pdf,reports/Report_South_Korea30.pdf,reports/Report_South_Korea30.pdf,2026-06-21T15:14:26+02:00,0.1632,0.1632,^KS11
South Africa30,^J203.JO,OK,Report_South_Africa30.pdf,reports/Report_South_Africa30.pdf,reports/Report_South_Africa30.pdf,2026-06-21T15:14:26+02:00,0.1536,0.1536,^J203.JO
